rank,category,modality,name,number,country,event_name,Qualification,Final,Semi-Final
31,Youth B Male,Lead,Malthe SORVAD RØNNENFELT,53 •,DEN,"European Youth Championships (L,S) - Voronezh (RUS) 2019",13+  31. | 12+  31. [31.00] (31),,
1,Juniors Female,Lead,Nina ARTHAUD,61 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",45+  1. | Top  1. [2.60] (1),48+ (1),53+ (1)
2,Juniors Female,Lead,Eliska ADAMOVSKA,27 •,CZE,"European Youth Championships (L,S) - Voronezh (RUS) 2019",39+  3. | Top  1. [3.67] (3),46+ (2),50+ (2)
3,Juniors Female,Lead,Nolwenn ARC,60 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",45+  1. | Top  1. [2.60] (1),46+ (3),47+ (3)
4,Juniors Female,Lead,Luiza EMELEVA,149 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",39   4. | Top  1. [4.24] (4),42+ (4),47 (4)
5,Juniors Female,Lead,Lucia DÖRFFEL,86 •,GER,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35   10. | Top  1. [6.87] (7),42+ (5),33 (7)
6,Juniors Female,Lead,Daria VERETENINA,151 •,RUS,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36+  5. | Top  1. [5.20] (5),38+ (6),34+ (5)
7,Juniors Female,Lead,Léa DELACQUIS,62 •,FRA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",33   14. | 37   11. [12.41] (13),38+ (7),33 (8)
8,Juniors Female,Lead,Noa SHIRAN,104 •,ISR,"European Youth Championships (L,S) - Voronezh (RUS) 2019",36   8. | Top  1. [6.00] (6),36+ (8),34+ (6)
9,Juniors Female,Lead,Mattea PÖTZI,2 •,AUT,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35+  9. | 39+  9. [9.00] (10),,32+ (9)
10,Juniors Female,Lead,Eva Maria HAMMELMÜLLER,1 •,AUT,"European Youth Championships (L,S) - Voronezh (RUS) 2019",35   10. | Top  1. [6.87] (7),,31+ (10)
11,Juniors Female,Lead,Roxana WIENAND,87 •,GER,"European Youth Championships (L,S) - Voronezh (RUS) 2019",33+  12. | 33+  13. [12.75] (14),,31 (11)
12,Juniors Female,Lead,Sara MORANDINI,110 •,ITA,"European Youth Championships (L,S) - Voronezh (RUS) 2019",33+  12. | 35+  12. [12.25] (12),,29+ (12)
