Year,Event Title,Href
2003,UIAA Worldcup - Val Daone (ITA) 2003,https://ifsc.results.info/event/317/
2003,UIAA Worldcup - Aviles (ESP) 2003,https://ifsc.results.info/event/318/
2003,UIAA Asian Championship - Beijing (CHN) 2003,https://ifsc.results.info/event/327/
2003,Int. Event - Boulder Masters Grenoble (FRA) 2003,https://ifsc.results.info/event/343/
2003,UIAA Worldcup - Rovereto (ITA) 2003,https://ifsc.results.info/event/319/
2003,European Youth Cup - Niederwangen (SUI) 2003,https://ifsc.results.info/event/330/
2003,Int. Event - La Colmiane (FRA) 2003,https://ifsc.results.info/event/344/
2003,Youth Worldchampionship - Veliko Tarnovo (BUL) 2003,https://ifsc.results.info/event/326/
2003,Int. Event - Arco Rockmaster (ITA) 2003,https://ifsc.results.info/event/345/
2003,Spiderkids - Open Youth Climbing Championship of the Czech Republic - Brno (CZE) 2003,https://ifsc.results.info/event/346/
2003,UIAA Worldcup - Aprica (ITA) 2003,https://ifsc.results.info/event/320/
2003,UIAA Worldcup - Prague (CZE) 2003,https://ifsc.results.info/event/321/
2003,UIAA Worldcup - Valence (FRA) 2003,https://ifsc.results.info/event/322/
2003,UIAA Worldcup - Kranj (SLO) 2003,https://ifsc.results.info/event/323/
2003,UIAA Worldcup - Shenzen (CHN) 2003,https://ifsc.results.info/event/324/
2003,European Youth Cup - Kranj (SLO) 2003,https://ifsc.results.info/event/331/
2003,UIAA Worldcup - Edinburgh (GBR) 2003,https://ifsc.results.info/event/325/
2004,UIAA Nordic Championship Bouldering (NOR) 2004,https://ifsc.results.info/event/374/
2004,UIAA Worldcup - Birmingham (GBR) 2004,https://ifsc.results.info/event/347/
2004,European Youth Cup - Geneva (SUI) 2004,https://ifsc.results.info/event/366/
2004,Int. Event - Open Youth Marseille (FRA) 2004,https://ifsc.results.info/event/376/
2004,UIAA Worldcup - Erlangen (GER) 2004,https://ifsc.results.info/event/348/
2004,UIAA Worldcup - Puurs (BEL) 2004,https://ifsc.results.info/event/349/
2004,Int. Event Melloblocco - Val di Mello (ITA) 2004,https://ifsc.results.info/event/377/
2004,European Youth Cup - Imst (AUT) 2004,https://ifsc.results.info/event/367/
2004,Polish Youth Championship - Gdansk 2004,https://ifsc.results.info/event/375/
2004,EYCD - European Youth Climbing Days Arco (ITA) 2004,https://ifsc.results.info/event/378/
2004,UIAA Worldcup - Imst (AUT) 2004,https://ifsc.results.info/event/350/
2004,Spiderkids - Youth Color Climbing Festival Imst (AUT) 2004,https://ifsc.results.info/event/379/
2004,UIAA Worldcup - Fiera di Primiero (ITA) 2004,https://ifsc.results.info/event/351/
2004,UIAA European Championship - Lecco (ITA) 2004,https://ifsc.results.info/event/365/
2004,Int. Youth Event - Citta di Ravenna (ITA) 2004,https://ifsc.results.info/event/380/
2004,Int. Youth Event - Petzen Trophy Kärnten (AUT) 2004,https://ifsc.results.info/event/381/
2004,UIAA Worldcup - Chamonix (FRA) 2004,https://ifsc.results.info/event/352/
2004,UIAA Worldcup - Val Daone (ITA) 2004,https://ifsc.results.info/event/353/
2004,Int. Event - OutDoor Climbing Events 2004 - Friedrichshafen (GER) 2004,https://ifsc.results.info/event/382/
2004,UIAA Worldcup - L'Argentière La Bessée (FRA) 2004,https://ifsc.results.info/event/354/
2004,UIAA Worldcup - Bardonecchia (ITA) 2004,https://ifsc.results.info/event/355/
2004,European Youth Cup + Festival - Veliko Tarnovo (BUL) 2004,https://ifsc.results.info/event/368/
2004,UIAA Central-South American Youth - S. Antonio de los Altos (VEN) 2004,https://ifsc.results.info/event/372/
2004,Spiderkids - Kids Climbing Competition of Aggtelek (HUN) 2004,https://ifsc.results.info/event/383/
2004,UIAA Central-South American Championship - S. Antonio de los Altos (VEN) 2004,https://ifsc.results.info/event/370/
2004,Int. Event - Grenoble (FRA) 2004,https://ifsc.results.info/event/384/
2004,Int. Event - Rockmaster Arco (ITA) 2004,https://ifsc.results.info/event/385/
2004,UIAA World Youth Championship - Edinburgh (GBR) 2004,https://ifsc.results.info/event/363/
2004,UIAA Worldcup - Marbella (ESP) 2004,https://ifsc.results.info/event/356/
2004,UIAA Worldcup - Huzou (CHN) 2004,https://ifsc.results.info/event/357/
2004,UIAA Worldcup - Shanghai (CHN) 2004,https://ifsc.results.info/event/358/
2004,UIAA Worldcup - Aprica (ITA) 2004,https://ifsc.results.info/event/359/
2004,UIAA Worldcup - Valence (FRA) 2004,https://ifsc.results.info/event/360/
2004,UIAA Asian Championship - Jeolla Nam Do (KOR) 2004,https://ifsc.results.info/event/364/
2004,Spiderkids - Int. Youth Climbing Competitions Darvas Cup (HUN) 2004,https://ifsc.results.info/event/386/
2004,UIAA Worldcup - Brno (CZE) 2004,https://ifsc.results.info/event/361/
