rank,category,modality,name,number,country,event_name,Qualification,Semi-Final,Final
53,Women,Boulder,Lan KIM,29 •,KOR,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T2z 7 8 (27),,
53,Women,Boulder,Yael TAUB,39 •,ISR,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T1z 4 4 (27),,
55,Women,Boulder,Eliska ADAMOVSKA,40 •,CZE,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T3z 0 29 (28),,
55,Women,Boulder,Rong JIANG,19 •,CHN,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T1z 5 5 (28),,
57,Women,Boulder,Aleksandra MIROSLAW,26 •,POL,IFSC Climbing World Championships - Hachioji (JPN) 2019,1T1z 9 9 (29),,
57,Women,Boulder,Iuliia PANTELEEVA,22 •,RUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 12 (29),,
59,Women,Boulder,Puntarika TUNYAVANICH,36 •,THA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 7 (30),,
59,Women,Boulder,Lucinda Ann TURNBULL,42 •,AUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 1 (30),,
61,Women,Boulder,Natalia KALUCKA,37 •,POL,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 20 (31),,
61,Women,Boulder,Thais Makino SHIRAIWA,26 •,BRA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 2 (31),,
63,Women,Boulder,Yuzhen BAIMA,38 •,CHN,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 5 (32),,
63,Women,Boulder,Aleksandra KALUCKA,42 •,POL,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T2z 0 23 (32),,
65,Women,Boulder,Margarita AGAMBAYEVA,31 •,KAZ,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 6 (33),,
65,Women,Boulder,Yiling SONG,29 •,CHN,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 7 (33),,
65,Women,Boulder,Tamara ULZHABAYEVA,39 •,KAZ,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T1z 0 6 (33),,
68,Women,Boulder,Prateeksha ARUN,32 •,IND,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (34),,
68,Women,Boulder,Anna DAVEY,25 •,AUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (34),,
68,Women,Boulder,Rachelle DE CHARMOY,35 •,RSA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (34),,
68,Women,Boulder,Rebecca FRANGOS,43 •,CAN,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (34),,
68,Women,Boulder,Jayati GADAMSHETTY,40 •,IND,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (34),,
68,Women,Boulder,María Fernanda GONZÁLEZ RÁMIREZ,44 •,MEX,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (34),,
68,Women,Boulder,Valeria MACIAS FERREIRA,30 •,MEX,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (34),,
68,Women,Boulder,Assel MARLENOVA,41 •,KAZ,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (34),,
68,Women,Boulder,Roxy PERRY,28 •,AUS,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (34),,
68,Women,Boulder,Sarah TETZLAFF,34 •,NZL,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (34),,
68,Women,Boulder,Wai-ping YU,31 •,HKG,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (34),,
79,Women,Boulder,Anna BROZEK,30 •,POL,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (35),,
79,Women,Boulder,Patrycja CHUDZIAK,32 •,POL,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (35),,
79,Women,Boulder,Jennifer Marie DE LA TORRE,35 •,MEX,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (35),,
79,Women,Boulder,Bianca DE MAGALHAES DE CASTRO,41 •,BRA,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (35),,
79,Women,Boulder,Arantza FERNÁNDEZ GUTIERREZ,45 •,MEX,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (35),,
79,Women,Boulder,Dhanshri LEKURWALA,28 •,IND,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (35),,
79,Women,Boulder,Hsiu-ju LIN,33 •,TPE,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (35),,
79,Women,Boulder,Arantza LUNA VELASCO,27 •,MEX,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (35),,
79,Women,Boulder,Siddhi Shekhar MANERIKAR,34 •,IND,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (35),,
79,Women,Boulder,Joanna NEAME,23 •,GBR,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (35),,
79,Women,Boulder,Amour PAZ,44 •,ISR,IFSC Climbing World Championships - Hachioji (JPN) 2019,0T0z 0 0 (35),,
