rank,category,modality,name,number,country,event_name
35,Men,Lead,Jean-baptiste TRIBOUT,,FRA,UIAA World Championship - Frankfurt 1991
37,Men,Lead,Jacky GODOFFE,,FRA,UIAA World Championship - Frankfurt 1991
37,Men,Lead,Kairat RAKHMETOV,,KAZ,UIAA World Championship - Frankfurt 1991
39,Men,Lead,Doug ENGLEKIRK,,USA,UIAA World Championship - Frankfurt 1991
39,Men,Lead,Marcel TOMAN,,CZE,UIAA World Championship - Frankfurt 1991
41,Men,Lead,Arnould T'KINT,,BEL,UIAA World Championship - Frankfurt 1991
42,Men,Lead,Geoff WEIGAND,,AUS,UIAA World Championship - Frankfurt 1991
43,Men,Lead,Erik JACOBS,,NED,UIAA World Championship - Frankfurt 1991
44,Men,Lead,Glenn SUTCLIFFE,,GBR,UIAA World Championship - Frankfurt 1991
45,Men,Lead,Klaus BÜCHELE,,GER,UIAA World Championship - Frankfurt 1991
46,Men,Lead,Matej MEJOVSEK,,SLO,UIAA World Championship - Frankfurt 1991
47,Men,Lead,Rae-kyung PARK,,KOR,UIAA World Championship - Frankfurt 1991
48,Men,Lead,Michael FADINGER,,AUT,UIAA World Championship - Frankfurt 1991
49,Men,Lead,Andrea GALLO,,ITA,UIAA World Championship - Frankfurt 1991
50,Men,Lead,Kevin WILSON,,CAN,UIAA World Championship - Frankfurt 1991
51,Men,Lead,Philippe STEULET,,SUI,UIAA World Championship - Frankfurt 1991
52,Men,Lead,Tomasz SAMITOWSKI,,POL,UIAA World Championship - Frankfurt 1991
53,Men,Lead,Jindrich HUDECEK,,CZE,UIAA World Championship - Frankfurt 1991
53,Men,Lead,Marko LUKIC,,SLO,UIAA World Championship - Frankfurt 1991
55,Men,Lead,Heinz GUT,,SUI,UIAA World Championship - Frankfurt 1991
55,Men,Lead,Michael MATLSCHWAIGER,,AUT,UIAA World Championship - Frankfurt 1991
55,Men,Lead,Tony RYAN,,GBR,UIAA World Championship - Frankfurt 1991
58,Men,Lead,Mark DELAFIELD,,GBR,UIAA World Championship - Frankfurt 1991
58,Men,Lead,Anton PACEK,,SVK,UIAA World Championship - Frankfurt 1991
58,Men,Lead,Hira VERICK,,AUS,UIAA World Championship - Frankfurt 1991
61,Men,Lead,Hans FLORINE,,USA,UIAA World Championship - Frankfurt 1991
62,Men,Lead,Kelly WILSON,,CAN,UIAA World Championship - Frankfurt 1991
63,Men,Lead,Werner HOFMANS,,BEL,UIAA World Championship - Frankfurt 1991
63,Men,Lead,Vasil KIROV,,BUL,UIAA World Championship - Frankfurt 1991
63,Men,Lead,Petrov PLAMEN,,BUL,UIAA World Championship - Frankfurt 1991
