Year,Event Title,Href,Location,Date
2011,IFSC Climbing Worldcup (B) - Canmore (CAN) 2011,https://ifsc.results.info/event/669/,Edinburgh,20/05/2011 – 22/05/2011
2011,IFSC Climbing Worldcup (B) - Vail (USA) 2011,https://ifsc.results.info/event/670/,Vail,03/06/2011 – 04/06/2011
2011,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,https://ifsc.results.info/event/671/,Eindhoven,17/06/2011 – 18/06/2011
2011,IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,https://ifsc.results.info/event/672/,Barcelona,25/06/2011 – 26/06/2011
2011,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,https://ifsc.results.info/event/673/,Petzen Climbing,07/07/2011 – 08/07/2011
2011,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",https://ifsc.results.info/event/674/,Chamonix,12/07/2011 – 13/07/2011
2011,IFSC Climbing World Championships - Arco (ITA) 2011,https://ifsc.results.info/event/675/,WCH Arco 2011,15/07/2011 – 24/07/2011
2011,IFSC World Championship Lead Group A - Arco 2011,https://ifsc.results.info/event/676/,Arco Group A,20/07/2011 – 21/07/2011
2011,IFSC World Championship Lead Group B - Arco 2011,https://ifsc.results.info/event/677/,Arco Group B,20/07/2011 – 21/07/2011
2011,IFSC Climbing Worldcup (L) - Briançon (FRA) 2011,https://ifsc.results.info/event/678/,,28/07/2011 – 31/07/2011
2011,IFSC Climbing Worldcup (S) - Daone (ITA) 2011,https://ifsc.results.info/event/679/,Arendal Promo,12/08/2011 – 14/08/2011
2020,IFSC - Paraclimbing World Cup - Innsbruck (AUT) 2020 - POSTPONED,https://ifsc.results.info/event/68/,Hiroshima (JPN),03/04/2020 – 05/04/2020
2011,IFSC Climbing Worldcup (B) - Munich (GER) 2011,https://ifsc.results.info/event/680/,Munich,19/08/2011 – 20/08/2011
2011,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",https://ifsc.results.info/event/681/,Changzhi,07/09/2011 – 08/09/2011
2011,"IFSC Climbing Worldcup (L,S) - Changzhi (CHN) 2011",https://ifsc.results.info/event/682/,Xining,02/09/2011 – 03/09/2011
2011,IFSC Climbing Worldcup (L) - Puurs (BEL) 2011,https://ifsc.results.info/event/683/,Arco Rock Junior,01/10/2011 – 02/10/2011
2011,IFSC Climbing Worldcup (L) - Boulder (USA) 2011,https://ifsc.results.info/event/684/,Jiangyin_11,15/10/2011 – 16/10/2011
2011,IFSC Climbing Worldcup (L) - Amman (JOR) 2011,https://ifsc.results.info/event/685/,Amman,20/10/2011 – 21/10/2011
2011,IFSC Climbing Worldcup (L) - Valence (FRA) 2011,https://ifsc.results.info/event/686/,Valence,28/10/2011 – 29/10/2011
2011,IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,https://ifsc.results.info/event/687/,Pau,11/11/2011 – 12/11/2011
2011,IFSC Climbing Worldcup (L) - Barcelona (ESP) 2011,https://ifsc.results.info/event/688/,Barcelona,26/11/2011 – 27/11/2011
2011,IFSC World Youth Championship - Imst (AUT) - 2011,https://ifsc.results.info/event/689/,YWC Imst,25/08/2011 – 28/08/2011
2011,IFSC Paraclimbing World Championship SPEED - Arco (ITA) 2011,https://ifsc.results.info/event/690/,Paraclimbing LEAD,17/07/2011 – 18/07/2011
2011,IFSC Paraclimbing World Championship LEAD - Arco (ITA) 2011,https://ifsc.results.info/event/691/,Arco_Paraclimbing,18/07/2011 – 19/07/2011
2011,Asian Continental Championship - Huangshi (CHN) 2011,https://ifsc.results.info/event/692/,Asian_Championship,09/12/2011 – 11/12/2011
2011,Asian Youth Championship - Singapore (SGP) 2011,https://ifsc.results.info/event/693/,Asian_Youth_Chp,28/07/2011 – 30/07/2011
2011,European Youth Cup (S) - Tarnow (POL) 2011,https://ifsc.results.info/event/694/,Tarnow,14/05/2011
2011,"European Youth Cup (L,S) - Edinburgh (GBR) 2011",https://ifsc.results.info/event/695/,Skopje_Under14,27/05/2011 – 29/05/2011
2011,European Youth Cup (S) - Chamonix (FRA) 2011,https://ifsc.results.info/event/696/,Chamonix,09/07/2011 – 10/07/2011
2011,European Youth Cup (S) - Friedrichshafen (GER) 2011,https://ifsc.results.info/event/697/,Friedrichshafen,14/07/2011
